Table,Borrower_ID,Variable,Category,Current_Value,Scenario_A_CF,Scenario_C_CF,Delta_A,Delta_C,Pct_Change_A,Pct_Change_C,Vanilla_CF,Proposed_CF,Delta_Vanilla,Delta_Proposed,Pct_Change_Vanilla,Pct_Change_Proposed
Table_9,7873,PercentTradesNeverDelq,Actionable,100,100.0,100.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,MSinceMostRecentDelq,Immutable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,MaxDelq2PublicRecLast12M,Non-controllable,7,7.0,7.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,MaxDelqEver,Non-controllable,8,8.0,8.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NumTotalTrades,Non-controllable,12,51.0,12.0,39.0,0.0,325.0,0.0,,,,,,
Table_9,7873,NumTradesOpeninLast12M,Actionable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,PercentInstallTrades,Non-controllable,17,17.0,17.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,MSinceMostRecentInqexcl7days,Immutable,3,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NumInqLast6M,Actionable,2,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NumInqLast6Mexcl7days,Other,2,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NetFractionRevolvingBurden,Actionable,87,87.0,77.0,0.0,-10.0,0.0,-11.49,,,,,,
Table_9,7873,NetFractionInstallBurden,Other,61,61.0,61.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NumRevolvingTradesWBalance,Other,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NumInstallTradesWBalance,Other,2,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NumBank2NatlTradesWHighUtilization,Immutable,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,PercentTradesWBalance,Other,100,100.0,100.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,ExternalRiskEstimate,Immutable,70,70.0,70.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,MSinceOldestTradeOpen,Immutable,166,166.0,166.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,MSinceMostRecentTradeOpen,Non-controllable,14,49.0,14.0,35.0,0.0,250.0,0.0,,,,,,
Extra_Case_3,5044,AverageMInFile,Immutable,82,82.0,82.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NumSatisfactoryTrades,Actionable,26,26.0,27.0,0.0,1.0,0.0,3.85,,,,,,
Extra_Case_3,5044,NumTrades60Ever2DerogPubRec,Other,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NumTrades90Ever2DerogPubRec,Non-controllable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,PercentTradesNeverDelq,Actionable,79,79.0,92.0,0.0,13.0,0.0,16.46,,,,,,
Extra_Case_3,5044,MSinceMostRecentDelq,Immutable,17,17.0,17.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,MaxDelq2PublicRecLast12M,Non-controllable,6,6.0,6.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,MaxDelqEver,Non-controllable,5,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NumTotalTrades,Non-controllable,28,28.0,28.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NumTradesOpeninLast12M,Actionable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,PercentInstallTrades,Non-controllable,29,29.0,29.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,MSinceMostRecentInqexcl7days,Immutable,1,16.0,1.0,15.0,0.0,1500.0,0.0,,,,,,
Extra_Case_3,5044,NumInqLast6M,Actionable,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NumInqLast6Mexcl7days,Other,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NetFractionRevolvingBurden,Actionable,42,42.0,42.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NetFractionInstallBurden,Other,87,87.0,87.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NumRevolvingTradesWBalance,Other,7,7.0,7.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NumInstallTradesWBalance,Other,2,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,NumBank2NatlTradesWHighUtilization,Immutable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_3,5044,PercentTradesWBalance,Other,45,45.0,45.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,ExternalRiskEstimate,Immutable,69,69.0,69.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,MSinceOldestTradeOpen,Immutable,211,211.0,211.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,MSinceMostRecentTradeOpen,Non-controllable,3,256.0,3.0,253.0,0.0,8433.33,0.0,,,,,,
Extra_Case_4,4127,AverageMInFile,Immutable,76,76.0,76.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumSatisfactoryTrades,Actionable,41,41.0,41.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumTrades60Ever2DerogPubRec,Other,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumTrades90Ever2DerogPubRec,Non-controllable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,PercentTradesNeverDelq,Actionable,100,100.0,105.0,0.0,5.0,0.0,5.0,,,,,,
Extra_Case_4,4127,MSinceMostRecentDelq,Immutable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,MaxDelq2PublicRecLast12M,Non-controllable,7,7.0,7.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,MaxDelqEver,Non-controllable,8,8.0,8.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumTotalTrades,Non-controllable,41,41.0,41.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumTradesOpeninLast12M,Actionable,4,4.0,4.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,PercentInstallTrades,Non-controllable,17,17.0,17.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,MSinceMostRecentInqexcl7days,Immutable,0,7.0,0.0,7.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumInqLast6M,Actionable,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumInqLast6Mexcl7days,Other,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NetFractionRevolvingBurden,Actionable,48,48.0,38.0,0.0,-10.0,0.0,-20.83,,,,,,
Extra_Case_4,4127,NetFractionInstallBurden,Other,64,64.0,64.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumRevolvingTradesWBalance,Other,5,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumInstallTradesWBalance,Other,3,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,NumBank2NatlTradesWHighUtilization,Immutable,4,4.0,4.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_4,4127,PercentTradesWBalance,Other,29,29.0,29.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,ExternalRiskEstimate,Immutable,77,77.0,77.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,MSinceOldestTradeOpen,Immutable,207,207.0,207.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,MSinceMostRecentTradeOpen,Non-controllable,40,40.0,40.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,AverageMInFile,Immutable,87,87.0,87.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,NumSatisfactoryTrades,Actionable,4,35.0,4.0,31.0,0.0,775.0,0.0,,,,,,
Extra_Case_5,7911,NumTrades60Ever2DerogPubRec,Other,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,NumTrades90Ever2DerogPubRec,Non-controllable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,PercentTradesNeverDelq,Actionable,80,80.0,96.0,0.0,16.0,0.0,20.0,,,,,,
Extra_Case_5,7911,MSinceMostRecentDelq,Immutable,27,27.0,27.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,MaxDelq2PublicRecLast12M,Non-controllable,6,6.0,6.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,MaxDelqEver,Non-controllable,5,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,NumTotalTrades,Non-controllable,5,12.0,5.0,7.0,0.0,140.0,0.0,,,,,,
Extra_Case_5,7911,NumTradesOpeninLast12M,Actionable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,PercentInstallTrades,Non-controllable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,MSinceMostRecentInqexcl7days,Immutable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,NumInqLast6M,Actionable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,NumInqLast6Mexcl7days,Other,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,NetFractionRevolvingBurden,Actionable,31,31.0,36.0,0.0,5.0,0.0,16.13,,,,,,
Extra_Case_5,7911,NetFractionInstallBurden,Other,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,NumRevolvingTradesWBalance,Other,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,NumInstallTradesWBalance,Other,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,NumBank2NatlTradesWHighUtilization,Immutable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Extra_Case_5,7911,PercentTradesWBalance,Other,50,50.0,50.0,0.0,0.0,0.0,0.0,,,,,,
Table_10_Case_1,2145,ExternalRiskEstimate,Immutable,73,,,,,,,73.0,73.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,MSinceOldestTradeOpen,Immutable,190,,,,,,,782.0,190.0,592.0,0.0,311.58,0.0
Table_10_Case_1,2145,MSinceMostRecentTradeOpen,Non-controllable,19,,,,,,,19.0,19.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,AverageMInFile,Immutable,68,,,,,,,68.0,68.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NumSatisfactoryTrades,Actionable,37,,,,,,,37.0,44.0,0.0,7.0,0.0,18.92
Table_10_Case_1,2145,NumTrades60Ever2DerogPubRec,Other,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NumTrades90Ever2DerogPubRec,Non-controllable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,PercentTradesNeverDelq,Actionable,100,,,,,,,100.0,100.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,MSinceMostRecentDelq,Immutable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,MaxDelq2PublicRecLast12M,Non-controllable,7,,,,,,,7.0,7.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,MaxDelqEver,Non-controllable,8,,,,,,,8.0,8.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NumTotalTrades,Non-controllable,41,,,,,,,41.0,41.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NumTradesOpeninLast12M,Actionable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,PercentInstallTrades,Non-controllable,7,,,,,,,7.0,7.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,MSinceMostRecentInqexcl7days,Immutable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NumInqLast6M,Actionable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NumInqLast6Mexcl7days,Other,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NetFractionRevolvingBurden,Actionable,41,,,,,,,41.0,39.0,0.0,-2.0,0.0,-4.88
Table_10_Case_1,2145,NetFractionInstallBurden,Other,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NumRevolvingTradesWBalance,Other,14,,,,,,,14.0,14.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NumInstallTradesWBalance,Other,1,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,NumBank2NatlTradesWHighUtilization,Immutable,7,,,,,,,7.0,7.0,0.0,0.0,0.0,0.0
Table_10_Case_1,2145,PercentTradesWBalance,Other,63,,,,,,,63.0,63.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,ExternalRiskEstimate,Immutable,70,,,,,,,70.0,70.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,MSinceOldestTradeOpen,Immutable,197,,,,,,,197.0,197.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,MSinceMostRecentTradeOpen,Non-controllable,16,,,,,,,16.0,16.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,AverageMInFile,Immutable,97,,,,,,,97.0,97.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,NumSatisfactoryTrades,Actionable,30,,,,,,,30.0,33.0,0.0,3.0,0.0,10.0
Table_10_Case_2,5386,NumTrades60Ever2DerogPubRec,Other,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,NumTrades90Ever2DerogPubRec,Non-controllable,0,,,,,,,15.0,0.0,15.0,0.0,0.0,0.0
Table_10_Case_2,5386,PercentTradesNeverDelq,Actionable,91,,,,,,,91.0,103.0,0.0,12.0,0.0,13.19
Table_10_Case_2,5386,MSinceMostRecentDelq,Immutable,19,,,,,,,19.0,19.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,MaxDelq2PublicRecLast12M,Non-controllable,6,,,,,,,6.0,6.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,MaxDelqEver,Non-controllable,6,,,,,,,6.0,6.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,NumTotalTrades,Non-controllable,32,,,,,,,32.0,32.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,NumTradesOpeninLast12M,Actionable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,PercentInstallTrades,Non-controllable,22,,,,,,,22.0,22.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,MSinceMostRecentInqexcl7days,Immutable,0,,,,,,,19.0,0.0,19.0,0.0,0.0,0.0
Table_10_Case_2,5386,NumInqLast6M,Actionable,4,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,NumInqLast6Mexcl7days,Other,4,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,NetFractionRevolvingBurden,Actionable,44,,,,,,,44.0,36.0,0.0,-8.0,0.0,-18.18
Table_10_Case_2,5386,NetFractionInstallBurden,Other,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,NumRevolvingTradesWBalance,Other,8,,,,,,,8.0,8.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,NumInstallTradesWBalance,Other,1,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,NumBank2NatlTradesWHighUtilization,Immutable,4,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0
Table_10_Case_2,5386,PercentTradesWBalance,Other,63,,,,,,,63.0,63.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,ExternalRiskEstimate,Immutable,69,,,,,,,92.0,69.0,23.0,0.0,33.33,0.0
Table_10_Case_3,5640,MSinceOldestTradeOpen,Immutable,280,,,,,,,280.0,280.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,MSinceMostRecentTradeOpen,Non-controllable,11,,,,,,,11.0,11.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,AverageMInFile,Immutable,125,,,,,,,125.0,125.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NumSatisfactoryTrades,Actionable,16,,,,,,,57.0,16.0,41.0,0.0,256.25,0.0
Table_10_Case_3,5640,NumTrades60Ever2DerogPubRec,Other,1,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NumTrades90Ever2DerogPubRec,Non-controllable,1,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,PercentTradesNeverDelq,Actionable,88,,,,,,,88.0,102.0,0.0,14.0,0.0,15.91
Table_10_Case_3,5640,MSinceMostRecentDelq,Immutable,6,,,,,,,6.0,6.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,MaxDelq2PublicRecLast12M,Non-controllable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,MaxDelqEver,Non-controllable,2,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NumTotalTrades,Non-controllable,17,,,,,,,17.0,17.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NumTradesOpeninLast12M,Actionable,1,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,PercentInstallTrades,Non-controllable,24,,,,,,,24.0,24.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,MSinceMostRecentInqexcl7days,Immutable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NumInqLast6M,Actionable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NumInqLast6Mexcl7days,Other,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NetFractionRevolvingBurden,Actionable,45,,,,,,,45.0,37.0,0.0,-8.0,0.0,-17.78
Table_10_Case_3,5640,NetFractionInstallBurden,Other,64,,,,,,,64.0,64.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NumRevolvingTradesWBalance,Other,4,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NumInstallTradesWBalance,Other,2,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,NumBank2NatlTradesWHighUtilization,Immutable,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Table_10_Case_3,5640,PercentTradesWBalance,Other,43,,,,,,,43.0,43.0,0.0,0.0,0.0,0.0
